district_id,district,region,urban_rural_class,lat,lon,total_pop,poverty_incidence,poverty_intensity,illiteracy_rate,literacy_rate,uninsured_rate,non_employment_share,dependency_ratio,urban,geojson_district,gap_merged_for_map
107,Birim North,EASTERN,District,6.3681437,-1.02271793293055,82669,18.3,42.6,21.3,78.7,17.16,45.72,68.66,0,BIRIM NORTH,0
108,Birim South,EASTERN,District,5.9375343,-1.0087951,35654,24.9,43.6,20.44,79.56,29.4,50.64,67.96,0,BIRIM SOUTH,0
109,Denkyembuor,EASTERN,District,6.05,-0.8,77029,18.1,42.3,19.87,80.13,12.96,53.42,61.19,0,DENKYEMBOUR,0
110,Fanteakwa North,EASTERN,District,6.49761694999999,-0.362546050326661,56987,28.9,41.9,28.56,71.44,30.99,42.24,69.56,0,FANTEAKWA NORTH,0
111,Fanteakwa South,EASTERN,District,6.37117379999999,-0.311872167608319,54634,21.7,41.7,17.87,82.13,24.61,44.9,63.95,0,FANTEAKWA SOUTH,0
112,Kwaebibirem Municipal,EASTERN,Municipal,6.23359759999999,-0.87590978580917,121698,19.6,42.9,20.38,79.62,20.02,46.8,68.09,1,KWAEBIBIREM,0
113,Kwahu Afram Plains North,EASTERN,District,6.8753584,0.00474561233398435,66555,48.5,41.9,42.23,57.77,48.1,39.26,72.11,0,KWAHU AFRAM PLAINS NORTH,0
114,Kwahu Afram Plains South,EASTERN,District,6.8854777,-0.460380290065423,74002,39.1,41.6,40.55,59.45,44.69,37.9,73.52,0,KWAHU AFRAM PLAINS SOUTH,0
115,Kwahu East,EASTERN,District,6.73342465,-0.81009459846416,80233,29.4,42.0,23.88,76.12,31.3,48.68,69.36,0,KWAHU EAST,0
116,Kwahu South Municipal,EASTERN,Municipal,8.25846,0.508747,79851,28.8,43.4,23.7,76.3,28.58,50.51,72.27,1,KWAHU SOUTH,0
