district_id,district,region,urban_rural_class,lat,lon,total_pop,poverty_incidence,poverty_intensity,illiteracy_rate,literacy_rate,uninsured_rate,non_employment_share,dependency_ratio,admin_urban_class,geojson_district,gap_merged_for_map,improved_water_pct_rgnbc,surface_water_pct_rgnbc,water_over30min_pct_rgnbc,improved_sanitation_pct_rgnbc,open_defecation_pct_rgnbc,female_literacy_pct_rgnbc,male_literacy_pct_rgnbc,area_km2,pop_density,density_approx_flag,urbanicity_z,san_deficit,water_deficit,nwpri_equal,nwpri_pca,nwpri_pc1_var,genuine_dep_pca,oncho_highrisk,trachoma_hist_endemic,ntd_pov_belt,ntd_anchor_resolution,ntd_anchor_confidence,buruli_focus
46,Sekyere East,ASHANTI,District,6.77947295,-1.29935419961981,74789,17.3,42.5,17.21,82.79,23.59,50.74,68.88,0,SEKYERE EAST,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,244.21116723366495,306.2,0,0.223,18.599999999999994,3.299999999999997,-0.72,-0.876,0.605,-0.868,0,0,0,region-broadcast,moderate (literature-ecological),0
47,Sekyere Kumawu,ASHANTI,District,6.9098849,-1.23942940155571,64396,23.9,42.9,20.33,79.67,35.78,50.45,76.25,0,SEKYERE KUMAWU,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,589.141682972687,109.3,0,-0.421,18.599999999999994,3.299999999999997,-0.441,-0.739,0.605,-0.341,0,0,0,region-broadcast,moderate (literature-ecological),0
48,Sekyere South,ASHANTI,District,6.99532965,-1.50292100938884,120076,22.6,42.8,17.74,82.26,26.93,52.82,68.71,0,SEKYERE SOUTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,425.9906902677,281.9,0,0.171,18.599999999999994,3.299999999999997,-0.592,-0.767,0.605,-0.607,0,0,0,region-broadcast,moderate (literature-ecological),0
49,Suame Municipal,ASHANTI,Municipal,6.738487,-1.62476687694823,136290,8.7,42.7,10.34,89.66,23.69,43.49,55.83,1,SUAME MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,28.027769038063,4862.7,0,1.953,18.599999999999994,3.299999999999997,-0.846,-1.052,0.605,-1.402,0,0,0,region-broadcast,moderate (literature-ecological),0
50,Banda,BONO,District,8.1645269,-2.3569966,28179,35.7,43.7,41.63,58.37,23.59,56.41,71.57,0,BANDA,0,91.8,7.1,7.1,69.2,13.0,61.5,76.1,2361.8029910385,11.9,0,-1.809,30.8,8.200000000000003,-0.22,-0.171,0.605,0.594,1,0,1,region-broadcast,moderate (literature-ecological),0
51,Berekum East Municipal,BONO,Municipal,7.4848835,-2.56459096524003,106252,12.6,41.7,14.74,85.26,11.53,51.35,57.89,1,BEREKUM EAST MUNICIPAL,0,91.8,7.1,7.1,69.2,13.0,61.5,76.1,472.791840604294,224.7,0,0.029,30.8,8.200000000000003,-0.742,-0.646,0.605,-1.302,1,0,1,region-broadcast,moderate (literature-ecological),0
52,Berekum West,BONO,District,7.47199419999999,-2.71078914019081,49464,14.8,41.6,22.9,77.1,12.49,50.65,64.76,0,BEREKUM WEST,0,91.8,7.1,7.1,69.2,13.0,61.5,76.1,410.860354409348,120.4,0,-0.361,30.8,8.200000000000003,-0.695,-0.601,0.605,-0.943,1,0,1,region-broadcast,moderate (literature-ecological),0
53,Dormaa Central Municipal,BONO,Municipal,7.23948645,-2.85657511014467,112702,15.8,41.7,22.18,77.82,17.34,47.13,64.19,1,DORMAA MUNICIPAL,0,91.8,7.1,7.1,69.2,13.0,61.5,76.1,1237.03678064922,91.1,0,-0.535,30.8,8.200000000000003,-0.608,-0.58,0.605,-0.856,1,0,1,region-broadcast,moderate (literature-ecological),0
54,Dormaa East,BONO,District,7.26432845,-2.64146295349265,67899,19.5,41.7,24.68,75.32,13.64,49.66,65.56,0,DORMAA EAST,0,91.8,7.1,7.1,69.2,13.0,61.5,76.1,582.94288403363,116.5,0,-0.382,30.8,8.200000000000003,-0.608,-0.504,0.605,-0.697,1,0,1,region-broadcast,moderate (literature-ecological),0
55,Dormaa West,BONO,District,6.97538415,-2.9463116043167,47913,23.2,40.8,30.1,69.9,20.34,41.23,67.74,0,DORMAA WEST,0,91.8,7.1,7.1,69.2,13.0,61.5,76.1,388.98868457841496,123.2,0,-0.347,30.8,8.200000000000003,-0.454,-0.428,0.605,-0.284,1,0,1,region-broadcast,moderate (literature-ecological),0
56,Jaman North,BONO,District,7.9132614,-2.69723280400663,116529,14.5,42.4,26.41,73.59,7.06,51.83,67.08,0,JAMAN NORTH,0,91.8,7.1,7.1,69.2,13.0,61.5,76.1,1057.59912206319,110.2,0,-0.416,30.8,8.200000000000003,-0.78,-0.608,0.605,-0.922,1,0,1,region-broadcast,moderate (literature-ecological),0
57,Jaman South,BONO,Municipal,7.62036559999999,-2.7963718064665,109768,15.6,42.1,26.35,73.65,8.82,49.44,67.67,1,JAMAN SOUTH MUNICIPAL,0,91.8,7.1,7.1,69.2,13.0,61.5,76.1,773.4992208524479,141.9,0,-0.258,30.8,8.200000000000003,-0.737,-0.585,0.605,-0.857,1,0,1,region-broadcast,moderate (literature-ecological),0
58,Sunyani Municipal,BONO,Municipal,7.3384389,-2.3309226,193595,10.9,41.5,14.47,85.53,11.18,51.26,53.37,1,SUNYANI MUNICIPAL,0,91.8,7.1,7.1,69.2,13.0,61.5,76.1,518.2047718891599,373.6,0,0.347,30.8,8.200000000000003,-0.772,-0.681,0.605,-1.378,1,0,1,region-broadcast,moderate (literature-ecological),0
59,Sunyani West Municipal,BONO,Municipal,7.35779433737633,-2.34687996021684,136022,17.6,43.1,20.83,79.17,15.61,55.78,56.77,1,SUNYANI WEST,0,91.8,7.1,7.1,69.2,13.0,61.5,76.1,1084.3406075691098,125.4,0,-0.335,30.8,8.200000000000003,-0.607,-0.543,0.605,-0.861,1,0,1,region-broadcast,moderate (literature-ecological),0
